date,Port,OperatorCountryofDomicileName,vessel_type,count
13/06/2023,IBP,Turkey,Tanker,1
15/01/2023,TPR,Falkland Islands,Other,1
30/11/2023,TBY,Bangladesh,Cargo,2
08/06/2023,BUR,Indonesia,Tanker,4
06/07/2023,IBP,Indonesia,Passenger,87
13/12/2023,IBP,Indonesia,Passenger,85
16/05/2023,IBP,Colombia,Passenger,1
20/12/2023,IBP,Colombia,Passenger,2
10/03/2023,KDI,Indonesia,Passenger,2
13/10/2023,GRE,Indonesia,Tanker,4
02/09/2023,TQP,Indonesia,Tanker,1
27/09/2023,TJB,Indonesia,Passenger,3
07/07/2023,BUR,Saudi Arabia,Passenger,2
26/09/2023,BUR,Saudi Arabia,Passenger,3
21/12/2023,GRE,Greece,Cargo,1
08/12/2023,GRE,Indonesia,Cargo,14
12/08/2023,TPR,Indonesia,Passenger,2
08/08/2023,BIK,Indonesia,Cargo,2
01/11/2023,PNK,Indonesia,Cargo,11
18/10/2023,MAK,Indonesia,Cargo,7
06/01/2023,MKW,Indonesia,Passenger,2
12/03/2023,MKW,Indonesia,Passenger,4
26/04/2023,WSR,Indonesia,Passenger,1
26/03/2023,PNK,Indonesia,Cargo,4
09/12/2023,BPN,Indonesia,Other,3
01/02/2023,LMR,Indonesia,Passenger,10
23/04/2023,BPN,Indonesia,Passenger,16
09/04/2023,BUR,Greece,Cargo,1
04/12/2023,IBP,Singapore,Cargo,1
10/10/2023,BUR,Singapore,Cargo,3
11/11/2023,IBP,"China, People's Republic Of",Tanker,2
12/10/2023,MAK,Indonesia,Passenger,6
07/10/2023,BPN,Indonesia,Passenger,20
26/11/2023,KUM,Indonesia,Passenger,1
03/04/2023,SUB,Indonesia,Tanker,4
19/09/2023,PNK,Indonesia,Cargo,5
03/07/2023,BPN,Indonesia,Passenger,16
14/04/2023,LSW,Indonesia,Tanker,1
17/07/2023,MLH,Indonesia,Tanker,1
03/07/2023,BPN,Indonesia,Other,2
04/03/2023,BUR,Singapore,Cargo,7
17/10/2023,DUM,"China, People's Republic Of",Tanker,8
20/01/2023,BDJ,"Hong Kong, China",Cargo,1
02/03/2023,MLD,Indonesia,Cargo,2
01/11/2023,BLW,Indonesia,Cargo,6
03/06/2023,BDJ,Indonesia,Cargo,5
07/05/2023,BIK,Indonesia,Passenger,2
12/05/2023,BIK,Indonesia,Passenger,2
30/12/2023,BIK,Indonesia,Passenger,1
23/04/2023,SUB,Indonesia,Cargo,2
26/12/2023,BUR,Singapore,Tanker,1
14/06/2023,TQP,Indonesia,Tanker,1
12/03/2023,KUM,Indonesia,Passenger,1
29/08/2023,SUB,Indonesia,Passenger,2
21/01/2023,SMA,Indonesia,Tanker,1
23/11/2023,BOA,Indonesia,Tanker,2
15/07/2023,SMQ,Indonesia,Tanker,2
11/10/2023,SMA,Indonesia,Tanker,1
08/02/2023,SUR,Indonesia,Cargo,5
19/06/2023,NAM,Indonesia,Passenger,1
11/07/2023,TLI,Indonesia,Tanker,1
31/08/2023,BDJ,Malaysia,Cargo,1
08/08/2023,BUR,Singapore,Passenger,19
08/02/2023,MSK,Vietnam,Cargo,1
11/06/2023,GRE,"Hong Kong, China",Cargo,1
21/12/2023,SRG,Switzerland,Cargo,1
27/10/2023,GRE,Chinese Taipei,Cargo,1
04/12/2023,CBN,Indonesia,Cargo,2
08/09/2023,LMR,Indonesia,Passenger,19
11/11/2023,AMQ,Indonesia,Passenger,5
15/12/2023,GRE,Indonesia,Tanker,4
16/07/2023,PNK,Indonesia,Other,1
13/01/2023,MKW,Indonesia,Cargo,1
09/01/2023,GTO,Indonesia,Passenger,1
04/03/2023,BGG,Indonesia,Passenger,1
28/08/2023,GTO,Indonesia,Passenger,2
07/01/2023,MUO,Indonesia,Other,1
27/09/2023,SOQ,Indonesia,Passenger,4
26/05/2023,MAK,Singapore,Tanker,2
23/04/2023,PNJ,Indonesia,Cargo,2
24/02/2023,GRE,Indonesia,Passenger,7
28/10/2023,TBY,Indonesia,Other,1
15/07/2023,BPN,Indonesia,Passenger,14
15/01/2023,BPN,Indonesia,Sailing,2
05/11/2023,BPN,Indonesia,Sailing,4
08/03/2023,TEI,Indonesia,Cargo,1
10/07/2023,TEI,Indonesia,Cargo,1
10/01/2023,NGG,Indonesia,Cargo,1
05/10/2023,CBN,Indonesia,Cargo,1
03/11/2023,PNK,Malaysia,Tanker,1
13/01/2023,TJB,Singapore,Dredging,1
27/12/2023,SUB,"China, People's Republic Of",Cargo,1
21/09/2023,SRG,Japan,Cargo,1
20/05/2023,IBP,Singapore,Tanker,3
31/08/2023,TBY,Indonesia,Cargo,3
22/09/2023,TBY,Indonesia,Cargo,1
07/06/2023,TPR,Indonesia,Passenger,3
25/09/2023,TJB,Indonesia,Tanker,2
20/05/2023,BDJ,Indonesia,Tanker,4
21/07/2023,BUR,Indonesia,Other,3
26/10/2023,BUR,Indonesia,Other,1
05/01/2023,BLW,Singapore,Tanker,2
18/04/2023,TQP,Indonesia,Passenger,1
07/07/2023,TQP,Indonesia,Passenger,1
02/09/2023,BUR,Indonesia,Tanker,5
06/04/2023,BPN,Singapore,Tanker,1
06/07/2023,DUM,Singapore,Tanker,2
27/08/2023,IBP,,Passenger,1
14/01/2023,TPR,"Korea, South",Cargo,1
01/06/2023,BPN,Indonesia,Passenger,14
06/08/2023,IBP,Indonesia,Tanker,6
20/05/2023,BMU,Indonesia,Passenger,1
19/06/2023,KDI,Indonesia,Passenger,3
07/10/2023,MAK,Indonesia,Passenger,3
16/01/2023,IBP,Indonesia,Tanker,10
13/07/2023,SUR,Indonesia,Tanker,2
13/11/2023,SLG,Indonesia,Cargo,1
13/10/2023,TEI,Indonesia,Passenger,9
26/03/2023,BUR,Indonesia,Passenger,23
11/10/2023,BUR,Indonesia,Passenger,17
07/11/2023,BUR,Indonesia,Passenger,17
11/03/2023,LMR,Indonesia,Passenger,16
21/12/2023,LMR,Indonesia,Passenger,14
05/10/2023,GRE,Indonesia,Tanker,5
09/03/2023,BUR,Indonesia,Tanker,4
20/09/2023,BPN,Indonesia,Tanker,7
02/03/2023,IBP,Indonesia,Cargo,5
27/02/2023,MAK,Indonesia,Passenger,4
16/10/2023,PNJ,Switzerland,Cargo,1
20/06/2023,GRE,Singapore,Tanker,2
08/10/2023,IBP,Singapore,Tanker,3
07/03/2023,TBY,Bangladesh,Cargo,2
01/01/2023,NAM,Indonesia,Passenger,1
02/01/2023,NDA,Indonesia,Passenger,1
14/03/2023,IBP,Indonesia,Tanker,5
17/07/2023,TJB,Indonesia,Cargo,4
10/04/2023,GRE,Indonesia,Other,1
27/04/2023,MAK,Indonesia,Other,1
14/05/2023,BDJ,Indonesia,Cargo,7
29/05/2023,PNK,Indonesia,Tanker,2
21/03/2023,MAK,Indonesia,Tanker,6
24/02/2023,IMW,Indonesia,Cargo,1
18/08/2023,TPR,Denmark,Cargo,1
