date,Port,OperatorCountryofDomicileName,vessel_type,count
08/05/2023,MAK,Indonesia,Passenger,2
05/06/2023,LUW,Indonesia,Passenger,1
31/07/2023,LUW,Indonesia,Passenger,1
19/03/2023,BUR,Indonesia,Passenger,18
19/08/2023,BUR,Indonesia,Passenger,21
12/01/2023,MAK,Indonesia,Passenger,4
18/01/2023,TPR,Indonesia,Tanker,7
19/06/2023,GRE,Indonesia,Cargo,13
11/10/2023,SMQ,Indonesia,Tanker,1
13/06/2023,IBP,Turkey,Tanker,1
29/12/2023,TPR,"Korea, South",Cargo,2
30/04/2023,BUR,"China, People's Republic Of",Cargo,1
06/04/2023,TPR,"China, People's Republic Of",Cargo,2
16/10/2023,TPR,Indonesia,Other,2
29/08/2023,DJJ,Indonesia,Tanker,1
08/09/2023,LMR,Indonesia,Passenger,19
01/11/2023,BLW,Indonesia,Cargo,6
07/06/2023,CBN,Singapore,Other,1
04/06/2023,BLW,Liberia,Cargo,1
08/06/2023,KBH,Indonesia,Other,1
18/05/2023,AMQ,Indonesia,Passenger,4
30/12/2023,MUO,Indonesia,Passenger,2
18/10/2023,MAK,Indonesia,Cargo,7
19/12/2023,SRG,Indonesia,Cargo,1
20/05/2023,BDJ,Indonesia,Tanker,6
28/12/2023,BDJ,Indonesia,Tanker,3
27/04/2023,BUR,Greece,Cargo,2
17/10/2023,TJB,Singapore,Passenger,1
06/08/2023,SOQ,United Kingdom,Pleasure Craft,1
16/09/2023,BUR,Japan,Other,1
30/10/2023,SUB,Indonesia,Passenger,2
06/01/2023,MKW,Indonesia,Passenger,2
30/08/2023,MAK,Indonesia,Passenger,2
12/10/2023,MAK,Indonesia,Passenger,6
11/11/2023,AMQ,Indonesia,Passenger,6
01/02/2023,LMR,Indonesia,Passenger,10
23/11/2023,ING,Indonesia,Cargo,3
21/07/2023,BUR,Indonesia,Other,3
07/12/2023,BIT,Indonesia,Tanker,2
26/03/2023,PNK,Indonesia,Cargo,2
03/06/2023,BDJ,Indonesia,Cargo,9
20/05/2023,TNJ,Indonesia,Passenger,2
05/03/2023,CBN,Indonesia,Cargo,1
28/01/2023,TJB,Singapore,Passenger,1
13/05/2023,TNJ,Singapore,Passenger,2
18/09/2023,TPR,Indonesia,Other,1
04/02/2023,AMQ,Indonesia,Cargo,2
09/07/2023,KTJ,Indonesia,Cargo,1
09/08/2023,SUB,Indonesia,Tanker,2
19/01/2023,MLD,Indonesia,Cargo,1
27/09/2023,TJB,Indonesia,Passenger,3
05/10/2023,TJB,Indonesia,Passenger,1
16/05/2023,IBP,Colombia,Passenger,1
20/12/2023,IBP,Colombia,Passenger,2
01/01/2023,PNJ,Indonesia,Cargo,3
01/09/2023,PNJ,Indonesia,Cargo,1
31/08/2023,TBY,Indonesia,Cargo,1
10/03/2023,KDI,Indonesia,Passenger,1
13/10/2023,GRE,Indonesia,Tanker,4
07/07/2023,BUR,Saudi Arabia,Passenger,2
26/09/2023,BUR,Saudi Arabia,Passenger,3
02/09/2023,BUR,Indonesia,Tanker,5
26/11/2023,KUM,Indonesia,Passenger,1
03/04/2023,SUB,Indonesia,Tanker,1
14/10/2023,TPR,Indonesia,Sailing,1
10/09/2023,PNK,Indonesia,Cargo,2
19/09/2023,PNK,Indonesia,Cargo,2
16/11/2023,IBP,Indonesia,Cargo,6
03/07/2023,BPN,Indonesia,Other,1
05/04/2023,CBN,Indonesia,Cargo,1
28/09/2023,DUM,United Arab Emirates,Tanker,1
24/02/2023,GRE,Indonesia,Passenger,7
07/05/2023,BIK,Indonesia,Passenger,2
08/12/2023,GRE,Indonesia,Cargo,12
17/04/2023,PNK,Indonesia,Tanker,3
02/03/2023,MLD,Indonesia,Cargo,2
04/03/2023,BUR,Singapore,Cargo,7
12/12/2023,TPR,France,Cargo,1
02/10/2023,TTK,Indonesia,Cargo,1
07/09/2023,BPN,Japan,Tanker,1
09/09/2023,BPN,Japan,Cargo,1
29/03/2023,PNJ,Singapore,Tanker,1
31/10/2023,IBP,Indonesia,Passenger,71
01/01/2023,NAM,Indonesia,Passenger,1
02/01/2023,NDA,Indonesia,Passenger,1
26/09/2023,KDI,Indonesia,Passenger,2
07/10/2023,WSR,Indonesia,Passenger,1
09/12/2023,GRE,Indonesia,Passenger,5
14/03/2023,IBP,Indonesia,Tanker,5
17/07/2023,TJB,Indonesia,Cargo,4
14/07/2023,BPN,Indonesia,Passenger,32
27/04/2023,MAK,Indonesia,Other,1
10/06/2023,GRE,Indonesia,Cargo,12
14/05/2023,BDJ,Indonesia,Cargo,6
22/02/2023,TEI,Indonesia,Cargo,1
25/11/2023,BPN,Indonesia,Tanker,8
14/01/2023,BUR,Singapore,Passenger,17
01/09/2023,TPR,Singapore,Cargo,2
26/03/2023,BUR,Indonesia,Passenger,23
11/10/2023,BUR,Indonesia,Passenger,17
07/11/2023,BUR,Indonesia,Passenger,17
01/06/2023,BPN,Indonesia,Passenger,26
06/08/2023,IBP,Indonesia,Tanker,6
20/05/2023,BMU,Indonesia,Passenger,1
19/06/2023,KDI,Indonesia,Passenger,2
07/10/2023,MAK,Indonesia,Passenger,3
16/01/2023,IBP,Indonesia,Tanker,11
13/11/2023,SLG,Indonesia,Cargo,1
13/10/2023,TEI,Indonesia,Passenger,9
11/03/2023,LMR,Indonesia,Passenger,16
21/12/2023,LMR,Indonesia,Passenger,14
09/03/2023,BUR,Indonesia,Tanker,4
20/09/2023,BPN,Indonesia,Tanker,6
02/03/2023,IBP,Indonesia,Cargo,5
27/02/2023,MAK,Indonesia,Passenger,4
30/08/2023,PNJ,Indonesia,Cargo,2
03/12/2023,BUR,Germany,Cargo,1
27/10/2023,BDJ,Cyprus,Cargo,1
24/12/2023,SRG,Chinese Taipei,Cargo,2
20/03/2023,TPR,Indonesia,Other,2
30/05/2023,TPR,Indonesia,Other,3
21/03/2023,MAK,Indonesia,Tanker,6
08/01/2023,LTU,Indonesia,Cargo,2
30/01/2023,SOQ,Indonesia,Cargo,1
22/10/2023,BUR,Indonesia,Tanker,3
13/02/2023,AMQ,Indonesia,Passenger,2
06/04/2023,AMQ,Indonesia,Passenger,4
14/08/2023,AMQ,Indonesia,Passenger,3
06/05/2023,IBP,Indonesia,Cargo,3
17/07/2023,TPR,Indonesia,Cargo,5
29/06/2023,TJB,Singapore,Passenger,1
20/06/2023,GRE,Singapore,Tanker,2
20/08/2023,SOQ,United Kingdom,Pleasure Craft,1
24/10/2023,BDJ,Vietnam,Cargo,1
14/03/2023,TBY,"Hong Kong, China",Tanker,1
17/12/2023,ING,"China, People's Republic Of",Cargo,1
26/06/2023,BBM,Indonesia,Passenger,1
30/08/2023,BBM,Indonesia,Passenger,1
09/10/2023,PNK,Indonesia,Tanker,4
16/09/2023,BDJ,Indonesia,Cargo,7
07/09/2023,DUM,Indonesia,Tanker,5
19/02/2023,BDJ,Indonesia,Dredging,1
06/02/2023,AMQ,Indonesia,Tanker,2
13/08/2023,TNJ,Singapore,Passenger,1
24/01/2023,DUM,Thailand,Tanker,1
15/02/2023,DUM,Turkey,Tanker,1
05/12/2023,SUB,Indonesia,Tanker,2
06/04/2023,GRE,Indonesia,Cargo,11
01/09/2023,AMQ,Indonesia,Cargo,1
19/10/2023,GRE,Indonesia,Cargo,9
13/08/2023,GRE,Indonesia,Passenger,9
15/12/2023,BIT,Indonesia,Cargo,2
06/01/2023,BDJ,Indonesia,Cargo,13
29/10/2023,SXK,Indonesia,Cargo,1
26/04/2023,GRE,Vietnam,Cargo,1
16/10/2023,PNJ,Switzerland,Cargo,1
08/10/2023,IBP,Singapore,Tanker,3
29/05/2023,PNK,Indonesia,Tanker,2
05/10/2023,GRE,Indonesia,Tanker,4
11/02/2023,BDJ,Indonesia,Cargo,5
24/02/2023,IMW,Indonesia,Cargo,1
05/11/2023,PGX,Indonesia,Cargo,1
18/08/2023,TPR,Denmark,Cargo,1
08/09/2023,BDJ,Italy,Cargo,1
21/12/2023,DUM,Indonesia,Tanker,7
10/04/2023,DUM,"Hong Kong, China",Tanker,1
22/09/2023,TPR,"China, People's Republic Of",Cargo,1
07/01/2023,DUM,"Korea, South",Dredging,1
