date,Port,status_country_domicile,vessel_type,count
2023-09-09,SUB,Domestic,Cargo,2
2023-10-20,TNJ,Domestic,Passenger,1
2023-10-24,BUR,Foreign,Passenger,7
2023-08-21,BLW,Foreign,Tanker,1
2023-02-16,BPN,Domestic,Passenger,2
2023-02-28,GRE,Domestic,Cargo,4
2023-10-29,TPR,Domestic,Cargo,3
2023-04-07,BPN,Domestic,Pleasure Craft,1
2023-02-06,BDJ,Domestic,Cargo,2
2023-03-12,IBP,Domestic,Tanker,1
2023-04-22,IBP,Foreign,Tanker,1
2023-09-01,TEI,Domestic,Passenger,4
2023-12-10,NDA,Domestic,Passenger,1
2023-02-02,SUB,Domestic,Tanker,3
2023-09-23,MAK,Domestic,Cargo,2
2023-04-14,TNJ,Foreign,Passenger,2
2023-10-03,TPR,Domestic,Tanker,2
2023-05-16,BIT,Domestic,Tanker,1
2023-07-11,BUR,Foreign,Tanker,1
2023-10-14,MAK,Domestic,Cargo,4
2023-01-22,DJJ,Domestic,Cargo,1
2023-01-20,BKS,Domestic,Cargo,1
2023-02-14,MAK,Domestic,Cargo,5
2023-07-06,SUB,Foreign,Cargo,1
2023-07-17,SUB,Foreign,Other,1
2023-08-23,BUR,Foreign,Tanker,1
2023-11-08,SNE,Domestic,Tanker,1
2023-10-07,TPR,Domestic,Tanker,1
2023-08-03,KTJ,Foreign,Cargo,1
2023-07-21,BPN,Domestic,Passenger,2
2023-09-12,TUA,Domestic,Passenger,1
2023-05-20,BBM,Domestic,Passenger,2
2023-08-30,SUB,Domestic,Cargo,3
2023-04-20,BPN,Domestic,Sailing,1
2023-12-24,ARE,Domestic,Passenger,2
2023-05-16,DNA,Domestic,Cargo,1
2023-07-29,TPR,Foreign,Cargo,1
2023-09-01,BKS,Domestic,Other,1
2023-05-25,BUR,Domestic,Cargo,1
2023-09-25,BUR,Foreign,Passenger,3
2023-03-17,TEI,Domestic,Passenger,1
2023-04-14,TEI,Domestic,Passenger,1
2023-04-25,IBP,Foreign,Tanker,2
2023-07-22,PKS,Domestic,Tanker,1
2023-01-30,SUB,Domestic,Sailing,1
2023-06-16,BPN,Domestic,Tanker,1
2023-08-01,BPN,Domestic,Tanker,3
2023-05-03,BPN,Domestic,Tanker,6
2023-05-11,BPN,Domestic,Passenger,5
2023-04-10,TUA,Domestic,Cargo,1
2023-12-22,BLW,Foreign,Cargo,2
2023-07-13,LMR,Domestic,Passenger,1
2023-01-07,MOF,Domestic,Tanker,1
2023-09-25,BDJ,Domestic,Cargo,1
2023-11-17,BGG,Domestic,Tanker,1
2023-09-16,IBP,Domestic,Tanker,1
2023-02-10,GRE,Domestic,Cargo,3
2023-07-31,BOA,Domestic,Passenger,1
2023-03-13,CBN,Domestic,Other,1
2023-11-18,TPR,Domestic,Cargo,2
2023-12-02,IBP,Domestic,Passenger,8
2023-12-30,IBP,Domestic,Passenger,10
2023-11-28,BPN,Domestic,Other,1
2023-05-17,BWB,Domestic,Tanker,1
2023-03-01,BPN,Domestic,Passenger,2
2023-07-23,MLD,Domestic,Tanker,1
2023-07-03,BDJ,Domestic,Tanker,1
2023-04-06,BIT,Domestic,Passenger,1
2023-05-11,BUR,Domestic,Cargo,3
2023-06-11,SRG,Domestic,Cargo,1
