date,Port,status_country_domicile,vessel_type,count
2023-11-28,SUB,Domestic,Tanker,2
2023-08-12,TTK,Domestic,Cargo,1
2023-08-25,IBP,Domestic,Tanker,6
2023-08-11,LTU,Domestic,Cargo,2
2023-04-13,IBP,Domestic,Tanker,6
2023-02-15,TPR,Foreign,Tanker,2
2023-10-05,SUR,Foreign,Cargo,1
2023-08-20,TPR,Foreign,Cargo,2
2023-06-20,CBN,Foreign,Tanker,1
2023-12-05,LTU,Foreign,Cargo,1
2023-09-24,TPR,Foreign,Cargo,4
2023-07-14,IBP,Foreign,Cargo,1
2023-05-19,TBY,Foreign,Tanker,3
2023-06-10,DUM,Foreign,Tanker,2
2023-10-30,BBM,Domestic,Cargo,1
2023-06-11,SUB,Domestic,Cargo,7
2023-05-24,TBY,Domestic,Tanker,3
2023-01-28,IPI,Domestic,Tanker,1
2023-09-04,TLI,Domestic,Tanker,1
2023-09-05,SUB,Domestic,Tanker,2
2023-01-04,IBP,Domestic,Tanker,3
2023-02-16,SOQ,Domestic,Tanker,1
2023-05-30,BLW,Domestic,Cargo,1
2023-05-01,MAK,Domestic,Cargo,1
2023-06-05,SRG,Domestic,Cargo,1
2023-01-13,BPN,Domestic,Cargo,1
2023-11-30,MAK,Domestic,Tanker,2
2023-01-12,LMR,Domestic,Cargo,1
2023-02-04,LMR,Domestic,Cargo,1
2023-04-27,BUR,Domestic,Tanker,13
2023-05-24,GRE,Foreign,Tanker,1
2023-01-03,GRE,Domestic,Cargo,2
2023-11-23,WGP,Domestic,Cargo,1
2023-09-20,BLW,Domestic,Tanker,1
2023-07-24,TPR,Domestic,Tanker,2
2023-04-13,PTL,Domestic,Cargo,1
2023-10-23,PNK,Foreign,Cargo,1
2023-02-28,GRE,Foreign,Cargo,1
2023-04-10,TPR,Foreign,Passenger,1
2023-09-18,BLW,Foreign,Tanker,2
2023-07-03,SRG,Foreign,Cargo,3
2023-03-03,SUB,Foreign,Cargo,116
2023-07-10,SRG,Foreign,Cargo,2
2023-07-14,SUB,Foreign,Cargo,118
2023-08-26,SUB,Foreign,Cargo,4
2023-07-18,IBP,Domestic,Cargo,1
2023-03-12,IBP,Domestic,Cargo,3
2023-01-22,BLW,Domestic,Cargo,2
2023-01-09,MAK,Domestic,Cargo,3
2023-10-03,PTL,Domestic,Cargo,1
