date,Port,status_country_domicile,vessel_type,count
2023-08-10,BPN,Domestic,Passenger,1
2023-05-18,SUB,Domestic,Tanker,1
2023-03-18,GRE,Domestic,Cargo,4
2023-06-29,SRG,Domestic,Tanker,1
2023-09-01,DUM,Domestic,Passenger,1
2023-08-10,GRE,Domestic,Cargo,3
2023-10-18,MKQ,Domestic,Tanker,1
2023-04-20,BUR,Domestic,Passenger,2
2023-11-18,WSR,Domestic,Passenger,1
2023-06-24,TBY,Domestic,Cargo,1
2023-01-19,PNK,Domestic,Cargo,2
2023-12-24,ENE,Domestic,Cargo,1
2023-01-16,KUM,Domestic,Passenger,1
2023-05-17,TUA,Domestic,Passenger,1
2023-08-11,TPR,Domestic,Tanker,2
2023-05-30,BBM,Domestic,Tanker,1
2023-05-16,SUB,Domestic,Cargo,2
2023-07-08,BPN,Domestic,Tanker,2
2023-10-23,PNJ,Foreign,Tanker,1
2023-08-26,LMR,Domestic,Passenger,6
2023-11-02,LMR,Domestic,Passenger,2
2023-07-03,BPN,Domestic,Cargo,1
2023-12-07,LMR,Domestic,Cargo,1
2023-10-19,LTU,Domestic,Tanker,1
2023-01-21,SUB,Domestic,Cargo,4
2023-10-16,SUB,Foreign,Cargo,1
2023-09-27,TPR,Domestic,Cargo,1
2023-10-19,GRE,Domestic,Tanker,2
2023-05-12,FKQ,Domestic,Passenger,1
2023-08-06,PNK,Domestic,Other,1
2023-02-06,MAK,Domestic,Passenger,1
2023-08-19,WNQ,Domestic,Passenger,1
2023-08-08,SOQ,Domestic,Passenger,1
2023-06-19,PKS,Domestic,Tanker,1
2023-06-04,BMU,Domestic,Cargo,1
2023-01-28,TPR,Domestic,Tanker,1
2023-01-23,TPR,Domestic,Cargo,2
2023-05-09,GRE,Domestic,Passenger,1
2023-05-31,IBP,Domestic,Passenger,4
2023-07-15,DUM,Domestic,Tanker,3
2023-12-04,DUM,Domestic,Passenger,1
2023-02-11,BPN,Domestic,Tanker,3
2023-07-19,SUB,Domestic,Cargo,4
2023-01-04,SUB,Foreign,Cargo,1
2023-02-23,MAK,Domestic,Cargo,1
2023-04-04,BPN,Domestic,Passenger,7
2023-09-20,NBX,Domestic,Cargo,1
2023-04-13,KUM,Domestic,Passenger,1
2023-03-21,BUR,Domestic,Tanker,1
2023-03-11,BPN,Domestic,Tanker,4
2023-12-06,IBP,Domestic,Passenger,8
2023-01-02,TTK,Domestic,Passenger,1
2023-04-25,LMR,Domestic,Passenger,5
2023-02-20,LMR,Domestic,Passenger,2
2023-05-14,TPR,Domestic,Pleasure Craft,1
2023-07-29,BPN,Domestic,Sailing,1
2023-10-05,BLW,Foreign,Cargo,2
2023-11-27,LMR,Domestic,Passenger,2
2023-03-03,TPR,Domestic,Tanker,3
2023-02-04,BLW,Domestic,Cargo,2
2023-10-16,IBP,Domestic,Passenger,1
2023-07-30,DUM,Domestic,Passenger,1
2023-09-06,BUR,Domestic,Cargo,1
2023-09-20,CBN,Domestic,Cargo,1
2023-03-22,SOQ,Domestic,Passenger,2
2023-01-23,NGG,Foreign,Cargo,1
2023-08-27,TPR,Domestic,Tanker,1
2023-06-10,BUR,Domestic,Pleasure Craft,1
2023-03-26,BPN,Domestic,Passenger,2
2023-11-16,GRE,Domestic,Tanker,2
2023-09-10,IMW,Domestic,Tanker,1
2023-12-13,MAK,Domestic,Tanker,2
2023-06-07,BDJ,Domestic,Pleasure Craft,1
2023-01-29,BLW,Foreign,Tanker,1
2023-09-10,MKW,Domestic,Passenger,2
2023-04-09,MAK,Domestic,Tanker,1
2023-12-14,BUR,Foreign,Passenger,1
2023-03-06,BLW,Foreign,Cargo,1
2023-06-20,MAK,Domestic,Cargo,1
2023-03-19,GRE,Domestic,Cargo,6
2023-07-07,SUB,Domestic,Cargo,3
2023-06-19,GRE,Domestic,Cargo,2
2023-02-23,BLW,Foreign,Tanker,1
2023-09-12,KDI,Domestic,Cargo,1
2023-02-17,MLD,Domestic,Sailing,1
2023-12-02,BUR,Domestic,Passenger,1
2023-08-30,BUR,Foreign,Passenger,1
2023-02-07,PNK,Foreign,Cargo,2
2023-02-01,IBP,Domestic,Passenger,3
2023-05-27,WSR,Domestic,Passenger,1
2023-01-05,GRE,Domestic,Cargo,2
2023-08-12,GRE,Domestic,Passenger,1
2023-10-18,SUB,Domestic,Passenger,1
2023-12-25,AMQ,Domestic,Tanker,1
2023-04-04,TPR,Domestic,Tanker,1
2023-09-14,BPN,Domestic,Cargo,1
2023-06-28,SUB,Domestic,Cargo,5
2023-07-24,SUB,Domestic,Cargo,4
2023-12-04,BPN,Domestic,Cargo,2
2023-04-08,BPN,Domestic,Tanker,1
2023-06-17,IBP,Domestic,Tanker,2
2023-05-15,GRE,Domestic,Cargo,2
2023-12-23,GRE,Domestic,Tanker,2
2023-05-13,BPN,Domestic,Tanker,2
2023-10-07,GRE,Domestic,Cargo,2
2023-07-12,IBP,Domestic,Passenger,1
2023-01-22,BDJ,Domestic,Cargo,3
2023-10-12,BPN,Domestic,Tanker,1
2023-06-07,BLW,Foreign,Cargo,1
2023-06-03,SRG,Domestic,Passenger,1
2023-12-04,PTM,Domestic,Pleasure Craft,1
2023-08-04,DUM,Domestic,Cargo,1
2023-02-09,LMR,Domestic,Passenger,4
2023-03-25,LMR,Domestic,Passenger,4
2023-12-27,CXP,Foreign,Port Tender,1
