,mmsi,vessel_name,Port,dt_pos_utc,fc_vessel,OperatorCountryOfRegistration,OperatorCountryofDomicileName,vessel_type,ns_vessel,draught,time,diff_time_hours,diff_time_minutes
0,525004139,TRANSKO ARIES,REO,05/01/2023 02:25,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.2,21960,6.1,366
1,525004139,TRANSKO ARIES,REO,25/01/2023 06:26,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,6.1,21491,5.969722222,358.1833333
2,525004139,TRANSKO ARIES,REO,06/02/2023 09:15,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.3,22167,6.1575,369.45
3,525004139,TRANSKO ARIES,REO,13/02/2023 00:16,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.4,33121,9.200277778,552.0166667
4,525004139,TRANSKO ARIES,REO,03/03/2023 01:22,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.7,27358,7.599444444,455.9666667
5,525004139,TRANSKO ARIES,REO,11/03/2023 08:13,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.3,21780,6.05,363
6,525004139,TRANSKO ARIES,REO,19/03/2023 02:19,Indonesia,Indonesia,Indonesia,Tanker,Moored,4.9,33126,9.201666667,552.1
7,525004139,TRANSKO ARIES,REO,31/03/2023 04:19,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.2,9176,2.548888889,152.9333333
8,525004139,TRANSKO ARIES,REO,07/04/2023 01:15,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.5,27186,7.551666667,453.1
9,525004139,TRANSKO ARIES,REO,15/04/2023 00:53,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.8,43381,12.05027778,723.0166667
10,525004139,TRANSKO ARIES,REO,23/04/2023 08:53,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.5,3778,1.049444444,62.96666667
11,525004139,TRANSKO ARIES,REO,04/05/2023 00:28,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.8,47432,13.17555556,790.5333333
12,525004139,TRANSKO ARIES,REO,02/06/2023 02:41,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.1,22499,6.249722222,374.9833333
13,525004139,TRANSKO ARIES,REO,02/07/2023 10:03,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.5,13498,3.749444444,224.9666667
14,525004139,TRANSKO ARIES,REO,09/07/2023 11:36,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.2,13863,3.850833333,231.05
15,525004139,TRANSKO ARIES,REO,19/07/2023 23:58,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.4,8580,2.383333333,143
16,525008003,MT MINAS / P.35,REO,03/06/2023 10:03,Indonesia,Indonesia,Indonesia,Tanker,Moored,3.8,13495,3.748611111,224.9166667
17,525010062,MT.SERENA III,REO,06/12/2023 06:28,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.3,7455,2.070833333,124.25
18,525025057,MERATUS SIBOLGA,REO,10/02/2023 02:57,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,1982,0.550555556,33.03333333
19,525025057,MERATUS SIBOLGA,REO,10/02/2023 03:57,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,358,0.099444444,5.966666667
20,525025057,MERATUS SIBOLGA,REO,11/02/2023 03:55,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,183,0.050833333,3.05
21,525025057,MERATUS SIBOLGA,REO,19/02/2023 02:51,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,537,0.149166667,8.95
22,525025057,MERATUS SIBOLGA,REO,19/02/2023 03:15,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,543,0.150833333,9.05
23,525025057,MERATUS SIBOLGA,REO,20/02/2023 02:34,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,181,0.050277778,3.016666667
24,525025057,MERATUS SIBOLGA,REO,20/02/2023 02:55,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,176,0.048888889,2.933333333
25,525117007,MT.FALCON19,REO,28/11/2023 00:42,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,6,172,0.047777778,2.866666667
26,525119034,MT MAHOGANI BANDA,REO,30/05/2023 00:52,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,0,2696,0.748888889,44.93333333
27,525501386,NTT SEJAHTERA,REO,09/06/2023 22:56,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,573879,159.4108333,9564.65
28,525501386,NTT SEJAHTERA,REO,15/09/2023 06:52,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,156850,43.56944444,2614.166667
29,525501386,NTT SEJAHTERA,REO,18/09/2023 09:43,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,171295,47.58194444,2854.916667
30,525501386,NTT SEJAHTERA,REO,11/10/2023 01:24,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,462067,128.3519444,7701.116667
31,525501386,NTT SEJAHTERA,REO,21/11/2023 23:28,Indonesia,Vietnam,Vietnam,Cargo,At Anchor,6.1,548674,152.4094444,9144.566667
