,mmsi,vessel_name,Port,dt_pos_utc,fc_vessel,OperatorCountryOfRegistration,OperatorCountryofDomicileName,vessel_type,ns_vessel,draught
76959,525015993,KALIMANTAN LEADER,TJB,2023-01-04 18:30:58,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.7
76960,525015993,KALIMANTAN LEADER,TJB,2023-01-04 19:11:32,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.7
76961,525015993,KALIMANTAN LEADER,BLW,2023-01-06 00:12:10,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.7
76962,525015993,KALIMANTAN LEADER,BLW,2023-01-06 11:18:36,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7
76963,525015993,KALIMANTAN LEADER,TPR,2023-01-11 00:21:14,Indonesia,Indonesia,Indonesia,Cargo,Moored,5.0
76964,525015993,KALIMANTAN LEADER,BDJ,2023-01-13 12:19:17,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.8
76965,525015993,KALIMANTAN LEADER,BPN,2023-01-15 00:47:19,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.8
76966,525015993,KALIMANTAN LEADER,BPN,2023-01-15 08:44:41,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.4
76967,525015993,KALIMANTAN LEADER,PTM,2023-01-17 23:25:03,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.4
76968,525015993,KALIMANTAN LEADER,TJB,2023-01-22 13:58:23,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.8
76969,525015993,KALIMANTAN LEADER,BLW,2023-01-24 04:38:20,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.8
76970,525015993,KALIMANTAN LEADER,BLW,2023-01-24 13:50:12,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.6
76971,525015993,KALIMANTAN LEADER,BUR,2023-01-25 20:51:04,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.6
76972,525015993,KALIMANTAN LEADER,TPR,2023-01-28 02:51:40,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.3
76973,525015993,KALIMANTAN LEADER,PTM,2023-01-29 09:49:38,Indonesia,Indonesia,Indonesia,Cargo,Moored,5.3
76974,525015993,KALIMANTAN LEADER,TJB,2023-01-31 14:09:09,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.8
76975,525015993,KALIMANTAN LEADER,TJB,2023-02-03 11:45:44,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.3
76976,525015993,KALIMANTAN LEADER,TPR,2023-02-05 01:36:44,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
76977,525015993,KALIMANTAN LEADER,BDJ,2023-02-07 18:35:08,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.6
76978,525015993,KALIMANTAN LEADER,TPR,2023-02-10 01:15:43,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.3
76979,525015993,KALIMANTAN LEADER,BPN,2023-02-13 02:54:03,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.9
76980,525015993,KALIMANTAN LEADER,TPR,2023-02-17 05:17:22,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.4
76981,525015993,KALIMANTAN LEADER,BDJ,2023-02-20 18:41:49,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.7
76982,525015993,KALIMANTAN LEADER,TJB,2023-02-25 09:06:52,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.7
76983,525015993,KALIMANTAN LEADER,BUR,2023-02-28 13:14:13,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.5
76984,525015993,KALIMANTAN LEADER,TPR,2023-03-02 16:52:19,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
76985,525015993,KALIMANTAN LEADER,BDJ,2023-03-06 16:29:50,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.9
76986,525015993,KALIMANTAN LEADER,PTM,2023-03-09 14:54:16,Indonesia,Indonesia,Indonesia,Cargo,Moored,5.4
76987,525015993,KALIMANTAN LEADER,TJB,2023-03-11 16:48:16,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,6.0
76988,525015993,KALIMANTAN LEADER,BLW,2023-03-12 18:14:42,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,6.0
76989,525015993,KALIMANTAN LEADER,BLW,2023-03-13 12:03:11,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.4
76990,525015993,KALIMANTAN LEADER,TJB,2023-03-14 15:06:59,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.4
76991,525015993,KALIMANTAN LEADER,TPR,2023-03-16 04:35:43,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.4
76992,525015993,KALIMANTAN LEADER,MAK,2023-03-19 05:50:39,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
76993,525015993,KALIMANTAN LEADER,TPR,2023-03-22 06:27:40,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
76994,525015993,KALIMANTAN LEADER,BDJ,2023-03-26 02:30:42,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.8
76995,525015993,KALIMANTAN LEADER,PTM,2023-03-28 01:36:30,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.3
76996,525015993,KALIMANTAN LEADER,TJB,2023-03-31 18:34:46,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.0
76997,525015993,KALIMANTAN LEADER,BUR,2023-04-03 12:45:25,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.5
76998,525015993,KALIMANTAN LEADER,PTM,2023-04-06 11:27:46,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.4
76999,525015993,KALIMANTAN LEADER,TJB,2023-04-09 13:09:45,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.9
77000,525015993,KALIMANTAN LEADER,BLW,2023-04-11 11:02:52,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.3
77001,525015993,KALIMANTAN LEADER,TPR,2023-04-14 03:31:08,Indonesia,Indonesia,Indonesia,Cargo,Underway Sailing,5.3
77002,525015993,KALIMANTAN LEADER,BPN,2023-04-17 14:38:48,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.1
77003,525015993,KALIMANTAN LEADER,TPR,2023-04-21 01:55:04,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77004,525015993,KALIMANTAN LEADER,BPN,2023-05-09 18:07:06,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.1
77005,525015993,KALIMANTAN LEADER,BPN,2023-05-10 10:10:17,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77006,525015993,KALIMANTAN LEADER,TJB,2023-05-16 01:07:36,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77007,525015993,KALIMANTAN LEADER,BLW,2023-05-17 06:32:51,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77008,525015993,KALIMANTAN LEADER,BLW,2023-05-17 13:34:33,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77009,525015993,KALIMANTAN LEADER,BUR,2023-05-18 20:37:55,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77010,525015993,KALIMANTAN LEADER,TPR,2023-05-22 04:59:00,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7
77011,525015993,KALIMANTAN LEADER,BDJ,2023-05-27 02:04:55,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.9
77012,525015993,KALIMANTAN LEADER,TPR,2023-05-29 21:09:14,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77013,525015993,KALIMANTAN LEADER,BDJ,2023-06-03 02:36:18,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.0
77014,525015993,KALIMANTAN LEADER,TPR,2023-06-05 17:47:12,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77015,525015993,KALIMANTAN LEADER,BDJ,2023-06-10 04:34:18,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7
77016,525015993,KALIMANTAN LEADER,TJB,2023-06-17 18:18:32,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77017,525015993,KALIMANTAN LEADER,BLW,2023-06-19 16:36:16,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77018,525015993,KALIMANTAN LEADER,TJB,2023-06-21 14:53:19,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77019,525015993,KALIMANTAN LEADER,TPR,2023-06-23 14:46:37,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77020,525015993,KALIMANTAN LEADER,BDJ,2023-06-26 09:59:33,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.9
77021,525015993,KALIMANTAN LEADER,TPR,2023-06-28 21:24:40,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77022,525015993,KALIMANTAN LEADER,BDJ,2023-07-08 03:19:08,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77023,525015993,KALIMANTAN LEADER,TPR,2023-07-11 04:21:18,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77024,525015993,KALIMANTAN LEADER,BDJ,2023-07-15 22:56:10,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.2
77025,525015993,KALIMANTAN LEADER,TJB,2023-07-22 18:31:38,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7
77026,525015993,KALIMANTAN LEADER,BLW,2023-07-23 21:58:41,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7
77027,525015993,KALIMANTAN LEADER,BUR,2023-07-25 16:11:33,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77028,525015993,KALIMANTAN LEADER,TPR,2023-07-28 17:27:04,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77029,525015993,KALIMANTAN LEADER,BDJ,2023-08-04 01:21:47,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77030,525015993,KALIMANTAN LEADER,TPR,2023-08-07 04:05:29,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77031,525015993,KALIMANTAN LEADER,BDJ,2023-08-11 01:50:18,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.8
77032,525015993,KALIMANTAN LEADER,TPR,2023-08-13 11:07:14,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77033,525015993,KALIMANTAN LEADER,BDJ,2023-08-17 22:04:34,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.6
77034,525015993,KALIMANTAN LEADER,TPR,2023-08-20 01:26:42,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77035,525015993,KALIMANTAN LEADER,BDJ,2023-08-24 21:46:52,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77036,525015993,KALIMANTAN LEADER,TPR,2023-08-27 01:11:33,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77037,525015993,KALIMANTAN LEADER,BDJ,2023-09-02 01:27:26,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77038,525015993,KALIMANTAN LEADER,TPR,2023-09-04 07:02:23,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77039,525015993,KALIMANTAN LEADER,BDJ,2023-09-08 15:12:27,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77040,525015993,KALIMANTAN LEADER,TPR,2023-09-11 00:34:12,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77041,525015993,KALIMANTAN LEADER,BDJ,2023-09-15 23:27:21,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77042,525015993,KALIMANTAN LEADER,TPR,2023-09-18 03:13:47,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77043,525015993,KALIMANTAN LEADER,BDJ,2023-09-24 01:28:52,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.6
77044,525015993,KALIMANTAN LEADER,TJB,2023-09-29 23:08:49,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.9
77045,525015993,KALIMANTAN LEADER,BLW,2023-10-01 05:15:03,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.9
77046,525015993,KALIMANTAN LEADER,BUR,2023-10-02 21:15:12,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77047,525015993,KALIMANTAN LEADER,TPR,2023-10-06 13:37:00,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77048,525015993,KALIMANTAN LEADER,BDJ,2023-10-09 19:29:24,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.7
77049,525015993,KALIMANTAN LEADER,TPR,2023-10-12 13:36:27,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77050,525015993,KALIMANTAN LEADER,BDJ,2023-10-18 08:56:40,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.2
77051,525015993,KALIMANTAN LEADER,TPR,2023-10-20 06:30:42,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77052,525015993,KALIMANTAN LEADER,BDJ,2023-10-23 16:36:35,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77053,525015993,KALIMANTAN LEADER,TPR,2023-10-26 12:21:14,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2
77054,525015993,KALIMANTAN LEADER,BDJ,2023-10-30 15:40:03,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77055,525015993,KALIMANTAN LEADER,TPR,2023-11-02 06:47:10,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.1
77056,525015993,KALIMANTAN LEADER,BDJ,2023-11-05 20:50:43,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.6
77057,525015993,KALIMANTAN LEADER,TPR,2023-11-08 11:50:07,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.5
77058,525015993,KALIMANTAN LEADER,BDJ,2023-11-13 07:48:31,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77059,525015993,KALIMANTAN LEADER,TJB,2023-11-19 18:11:06,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77060,525015993,KALIMANTAN LEADER,BUR,2023-11-23 00:59:56,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.4
77061,525015993,KALIMANTAN LEADER,TPR,2023-11-25 11:59:42,Indonesia,Indonesia,Indonesia,Cargo,At Anchor,5.2
77062,525015993,KALIMANTAN LEADER,BDJ,2023-11-29 01:51:19,Indonesia,Indonesia,Indonesia,Cargo,Moored,5.9
77063,525015993,KALIMANTAN LEADER,BPN,2023-11-30 17:04:09,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.5
77064,525015993,KALIMANTAN LEADER,BPN,2023-12-01 07:45:46,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77065,525015993,KALIMANTAN LEADER,TPR,2023-12-04 04:57:47,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3
77066,525015993,KALIMANTAN LEADER,BDJ,2023-12-07 19:34:17,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7
77067,525015993,KALIMANTAN LEADER,TPR,2023-12-12 18:46:41,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
77068,525015993,KALIMANTAN LEADER,BDJ,2023-12-14 16:53:30,Indonesia,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.8
