date,Port,OperatorCountryofDomicileName,vessel_type,count
2023-06-06,SOQ,Indonesia,Passenger,2
2023-06-05,GNS,Indonesia,Passenger,1
2023-11-21,GRE,Denmark,Cargo,1
2023-10-12,NDA,Indonesia,Passenger,1
2023-09-29,DUM,"China, People's Republic Of",Tanker,1
2023-11-13,TLI,Indonesia,Passenger,1
2023-03-03,TDA,,Cargo,1
2023-03-30,IBP,"Hong Kong, China",Cargo,1
2023-07-09,GRE,Philippines,Cargo,1
2023-07-06,IBP,Indonesia,Passenger,87
2023-06-08,BUR,Indonesia,Tanker,2
2023-10-28,TBY,Indonesia,Other,1
2023-12-13,IBP,Indonesia,Passenger,85
2023-05-16,IBP,Colombia,Passenger,1
2023-12-20,IBP,Colombia,Passenger,3
2023-03-10,KDI,Indonesia,Passenger,2
2023-09-02,TQP,Indonesia,Tanker,1
2023-05-16,TPR,Indonesia,Cargo,12
2023-07-07,BDJ,Indonesia,Cargo,3
2023-03-05,IMW,Indonesia,Passenger,2
2023-01-23,IBP,Greece,Tanker,1
2023-04-23,BPN,Indonesia,Passenger,40
2023-07-03,BPN,Indonesia,Passenger,41
2023-10-07,BPN,Indonesia,Passenger,50
2023-05-16,WNQ,Indonesia,Passenger,1
2023-07-15,BPN,Indonesia,Passenger,32
2023-03-12,MKW,Indonesia,Passenger,3
2023-09-08,LMR,Indonesia,Passenger,17
2023-01-15,BPN,Indonesia,Sailing,2
2023-11-05,BPN,Indonesia,Sailing,4
2023-12-17,LTU,Netherlands,Tanker,1
2023-05-20,IBP,Singapore,Tanker,4
2023-03-09,BLW,Malaysia,Cargo,1
2023-12-14,BLW,Malaysia,Cargo,1
2023-01-13,TJB,Singapore,Dredging,1
2023-04-08,MLD,Singapore,Cargo,1
2023-12-27,SUB,"China, People's Republic Of",Cargo,1
2023-12-29,TPR,"Korea, South",Cargo,2
2023-04-06,TPR,"China, People's Republic Of",Cargo,2
2023-12-13,TGP,Indonesia,Cargo,1
2023-10-16,TPR,Indonesia,Other,6
2023-02-14,SRG,Indonesia,Passenger,1
2023-05-07,PNK,Indonesia,Passenger,2
2023-08-29,DJJ,Indonesia,Tanker,1
2023-11-01,BLW,Indonesia,Cargo,5
2023-06-07,CBN,Singapore,Other,1
2023-06-04,BLW,Liberia,Cargo,1
2023-05-20,BDJ,Indonesia,Tanker,2
2023-10-13,GRE,Indonesia,Tanker,7
2023-04-27,BUR,Greece,Cargo,1
2023-08-08,BUR,Singapore,Passenger,9
2023-09-16,TPR,Singapore,Tanker,2
2023-10-02,TTK,Indonesia,Cargo,1
2023-09-18,TPR,Indonesia,Other,1
2023-12-31,TPR,Indonesia,Cargo,1
2023-09-28,PTM,Indonesia,Pleasure Craft,4
2023-12-12,PTM,Indonesia,Pleasure Craft,1
2023-03-02,BUR,Indonesia,Cargo,3
2023-02-02,GRE,Indonesia,Tanker,1
2023-06-03,BDJ,Indonesia,Cargo,5
2023-03-12,BDJ,Indonesia,Other,2
2023-06-19,GRE,Indonesia,Cargo,11
2023-07-09,KTJ,Indonesia,Cargo,1
2023-01-19,MLD,Indonesia,Cargo,1
2023-03-19,BUR,Indonesia,Passenger,5
2023-03-28,BUR,Indonesia,Passenger,5
2023-08-19,BUR,Indonesia,Passenger,7
2023-12-05,TPR,"Hong Kong, China",Cargo,2
2023-10-14,GRE,"Korea, South",Cargo,1
2023-01-18,TPR,Indonesia,Tanker,4
2023-05-14,BMU,Indonesia,Cargo,1
2023-11-04,WNQ,Indonesia,Cargo,2
2023-02-07,PTM,Indonesia,Other,1
2023-06-07,TPR,Indonesia,Passenger,3
